Job Role,Industry Size,Duration ,Rating Overall,Review Title,Overall,Pros,Cons
DevSecOps Engineer,"Information Services, Self-employed",Used the software for: 2+ years,5,"""One of the big three cloud providers.""",I have 3 Azure certifications at the moment and will continue the Developer path. I like that Azure is an extension of our datacenter but allows us to do a lot more since they are constantly abstracting services in order to gain ease of management. An example of this can be seen with containers since you can deploy them to AKS and manage the nodes but if it's a simple deployment you can deploy to Azure Web Apps or Azure Container Instance. If you want a full AKS deployment but do not want to manage node updates then Azure ContainerApps is a good solution. I really like that they offer Azure Open AI so companies can leverage a chat-gpt like environment that's private while allowing companies to add their data inside their tenant and not out to a public / popular service.,Signing up to previews can be difficult and often needs to involve sales reps before doing so to make sure we can have access to products.,
Engineering Project Specialist,"Information Technology and Services, 10,001+ employees",Used the software for: 1-2 years,4,"""Designed to help businesses of all sizes manage their IT infrastructure more efficiently""","Our experience with Microsoft Azure has been highly positive. The software is easy to use, reliable, and offers many features and tools that have helped us manage our IT infrastructure more efficiently. We appreciate the software's hybrid cloud solution, AI and machine learning tools, and security and compliance features, which have all helped us improve our operations and enhance our customer experience.","It offers a wide range of features and tools to help companies to build, deploy, and manage applications and services in the cloud.  Microsoft Azure offers a hybrid cloud solution that allows businesses to integrate their on-premises infrastructure with the cloud seamlessly. It makes it easy for companies to migrate to the cloud at their own pace and without disrupting their operations. The platform offers a wide range of AI and machine learning tools and services that allow businesses to build intelligent applications and services. It makes it easy for companies to leverage the power of AI and machine learning to improve their operations and enhance their customer experience. The software offers comprehensive security and compliance tools and services that help businesses protect their data and comply with industry regulations. It makes it easy for companies to ensure the security and privacy of their data and maintain compliance with industry standards.","Slow page load times and occasional glitches in the user interface. Additionally, some users have reported issues with the software's reporting capabilities, which can be limited in some cases."
"Automotive, 11-50 employees",Used the software for: 6-12 months,,3,"""Microsoft Azure""",Complicated Experience!,"Security and compliance: Azure offers a comprehensive set of security features and compliance certifications, providing strong data protection and regulatory compliance. Users appreciate Azure's built-in security controls, identity management through Azure Active Directory, and the ability to meet industry-specific security requirements.","Complexity and learning curve: Azure is a robust and feature-rich platform, which can make it complex, especially for users who are new to cloud computing. The learning curve can be steep, requiring time and effort to become proficient in navigating and utilizing Azure's extensive range of services and tools."
Cloud Engineer,"Information Technology and Services, 201-500 employees",Used the software for: 2+ years,5,"""Unleashing the Power of the Cloud""","In conclusion, Microsoft Azure stands as a leading cloud computing platform, offering scalability, a broad range of services, hybrid cloud capabilities, global availability, robust security, integration with the Microsoft ecosystem, a developer-friendly environment, and cost-effective pricing options.","Broad Range of Services: Azure offers an extensive catalog of services, including virtual machines, storage options, databases, networking solutions, artificial intelligence tools, analytics services, and much more. This comprehensive suite of services allows businesses to build, deploy, and manage a wide variety of applications and solutions within the Azure environment.Hybrid Cloud Capabilities: Azure supports hybrid cloud architectures, enabling seamless integration between on-premises infrastructure and cloud resources. This flexibility allows businesses to leverage existing investments while benefiting from the scalability and global reach of the Azure platform.Global Availability and Resilience: With data centers located in numerous regions around the world, Azure ensures high availability and redundancy. This global footprint allows businesses to deploy applications closer to their target users, minimizing latency and providing a reliable user experience even in the face of regional disruptions.","As a user I don't feel like there is a con as such in Azure, I have been using It daily for the past 1.5 years with no issues at all."
Senior Software Engineer,"Computer Software, 1001-5000 employees",Used the software for: 1-2 years,5,"""How my 2 years experience with Azure""","It was highly helpful in code development, debugging, versioning and storage of code. Easy to build and deploy applications.",Versioning .Yes its easy to use. Yes it was very flexible. It helps in supporting .net core applications in case source code got changed its highly relevant,Debugging on Developer  portal. It should be   enhanced more so that we know exact error and in which line it happened so that problems should be superfast to solve
IT Administrator,"Religious Institutions, 51-200 employees",Used the software for: 2+ years,5,"""Great to have for a Hybrid enviroment""","It has been great, very easy to deploy resources, and to remove them when they are no longer needed.","When transitioning some VM's from vSphere to Azure in order to be hybrid, the process was extremely easy. All the instructions and steps to make that happen were easy to follow.","Although pricing can be a bit high, it is understandable that with all the features being offered it does make sense to have that in place"
Intern in the IT department,"Computer Software, 1001-5000 employees",Used the software for: Less than 6 months,3,"""Embrace the Power of the Cloud with Microsoft Azure""",I have discovered Microsoft Azure to be an exceptionally potent tool for setting up and controlling cloud-based applications. It is simple to manage the complete software development process from a single platform because to its seamless interface with other Microsoft products like Visual Studio and GitHub.,"Microsoft Azure is a comprehensive cloud platform that offers a wide range of services for software engineers, including virtual machines, databases, AI and machine learning tools, and more. Applications may be managed and deployed with ease because to its user-friendly interface and seamless connection with other Microsoft products, while scalability and high availability are guaranteed by its extensive worldwide data center network.","Microsoft Azure's complexity, which may be difficult for newcomers to manage, is one of its key downsides."
Senior Civil Engineer,"Civil Engineering, 51-200 employees",Used the software for: 2+ years,5,"""Agrxis Review on Microsoft Azure""","I've been using Microsoft Azure for a while, and so far, everything have gone well. I value the platform's scalability and the variety of services it provides. However, I've discovered that some services are complicated, which makes it challenging to set up and configure some features. Additionally, it might be difficult to precisely estimate expenses due to the complexity of some services' pricing structures. Finally, even though Microsoft offers typically useful documentation and support, there have been moments when I've had problems finding the information I need. Despite these difficulties, I continue to think of Microsoft Azure as a dependable and strong cloud platform that provides a wide range of helpful services.","The enormous array of services that Azure provides is one of the aspects of it that I value most. Azure has everything I want for the development, deployment, and management of my cloud-based apps, from infrastructure to platform services. I like Azure's flexibility and scalability since it makes it simple for me to scale up or down in accordance with my business needs. I really adore Azure's user-friendly interface, which makes it simple to explore and manage the platform. It is simple to learn and get started with the platform because to the great documentation and assistance offered by Microsoft. I also value Azure's strict security protocols since they offer me confidence that my information is secure.Another fantastic feature that I appreciate is the Azure Marketplace, which offers me a broad selection of pre-built solutions and services that I can easily incorporate into my apps. The integrations with third-party applications and other Microsoft technologies, including Visual Studio and Power BI, are extremely impressive.Finally, anytime I've had queries or problems with the platform, I've found Azure's customer service to be quite helpful and prompt. Overall, Microsoft Azure is a solid, adaptable, and user-friendly cloud platform that I wholeheartedly endorse.","Despite the fact that I generally like using Microsoft Azure, there are a few things that irritate me. One problem is that some of the services are complicated, which might make it challenging to set up and configure some features. Additionally, it might be difficult to precisely estimate expenses due to the complexity of some services' pricing structures."
IT Manager,"Computer Hardware, 11-50 employees",Used the software for: 2+ years,4,"""A solid choice for workloads in the cloud""",The number of services included in Azure is mindblowing but you are guaranteed to find something to handle your workload regardless of what it is. Integration with other key Microsoft and 3rd party products make it easier to work with.,The number of services is also a problem as it can be hard to locate the right service and also the constant name changes and removal/introduction of services can cause confusion.,
Software Engineer,"Computer Software, 11-50 employees",Used the software for: 2+ years,4,"""Good cost effective business class cloud platform from microsoft""",Although it's UI has some issue Azure providesbest and the newst AI tools and impressive and competitive pricing models.,Azure has clear and open pricing plans and the newst AI tools are the most inpotrant features for us.,"UI is slugish and when using Azure Web apps, the deployment center is buggy and will not load sometimes."
